Object,City of the judge’s office,Tax Related,Number of Lawyers,Number of Legal Parties,Number of Persons,Settlement,Value formatted,Unified Contribution formatted
OR-140999,Roma,0,1,1,1,48.05835274105589,61.793771695671154,43.0
OR-140999,Palermo,0,1,1,1,1909.595875658972,1922.1368646990368,98.0
OR-145009,Milano,0,3,2,1,12945.39048706822,19902.62289306599,237.0
OR-140999,Napoli,1,1,1,2,250.0,229.2915236999254,43.0
OR-140999,Milano,0,2,0,2,937.2950279500504,941.3145281631241,21.5
OR-145999,Palermo,0,1,1,1,900.0,891.6212263941698,43.0
OR-140999,Bologna,0,1,0,2,863.2311768330997,849.7172604865925,43.0
OR-140999,Roma,0,2,2,1,700.0,2835.9088157321917,85.0
OR-140999,*,0,3,2,2,769.4752820465314,800.0,43.0
OR-140999,Palermo,0,1,1,1,250.0,250.0,43.0
OR-140999,Milano,0,2,0,2,2579.9779420374352,2548.123371783621,49.0
OR-140999,*,0,1,0,2,4509.661133651417,4444.970627056628,98.0
OR-145009,Firenze,0,1,2,1,1000.0000000000001,1033.0,43.0
OR-145999,Palermo,0,3,2,1,1022.3730213227315,4000.0,49.0
OR-140999,Milano,0,1,1,1,600.0,592.6907346711846,43.0
OR-140999,Milano,0,2,1,1,2698.4301850606266,2694.475351635143,49.0
OR-140999,Torino,0,2,1,1,1.0,3112.1982831817577,98.0
OR-140999,Bologna,0,2,2,1,1124.447704078348,600.0,18.50139410300094
OR-145009,*,0,2,1,1,3064.388729056032,8815.581680606701,237.0
OR-145999,Torino,0,1,0,2,4898.279047401178,4812.987567331052,98.0
OR-140999,*,0,2,0,2,1477.677505823355,1469.5247064958912,98.0
OR-145999,Milano,0,1,1,3,5199.990643166411,5200.0,237.0
OR-145009,Cagliari,0,4,2,2,1808.6588478606398,2075.343364384927,98.0
OR-140999,Palermo,0,3,2,2,4693.086829115994,4704.8951439219245,85.0
OR-140999,Milano,0,1,0,2,2357.372648599235,2500.0,98.0
OR-145009,*,0,2,3,0,2000.0,1989.217986944951,98.0
OR-145009,Roma,0,3,2,1,1967.8627332469337,1955.8501989947938,98.0
OR-140999,Palermo,0,1,1,1,500.0,486.8159373610531,43.0
OR-145999,Firenze,0,2,1,1,12.547364463585879,20.070570824025083,43.0
OR-145009,Milano,0,0,1,1,1746.241306328635,1707.7243394265379,98.0
OR-145999,Milano,0,2,2,0,5199.99648783819,5200.0,98.0
OR-140999,Bari,0,1,2,1,1801.2962964708538,2207.7277942413675,98.0
OR-140999,Milano,0,2,1,1,450.0,686.0988947604826,43.0
OR-140999,Napoli,1,1,1,2,350.0,687.2263170594073,43.0
OR-145009,Napoli,0,4,4,0,5000.0,5200.0,98.0
OR-140999,Napoli,1,1,1,2,493.8090836978253,451.84148066614233,43.0
OR-140999,*,0,1,2,0,1000.0000000000001,1555.0990013219714,98.0
OR-145009,Milano,0,1,1,1,730.4476939669671,1954.2035790979892,98.0
OR-145999,Milano,0,2,2,1,500.0,500.0,43.0
OR-145999,Torino,0,2,0,2,140.31691299681293,865.7884950882247,43.0
OR-145999,Milano,0,2,1,1,400.00000000000006,336.57223680092693,43.0
OR-145009,Napoli,0,2,2,1,1351.8781019177034,5200.0,98.0
OR-145009,Palermo,0,2,1,1,1116.5590932850948,1102.7781872154567,98.0
OR-145999,Milano,0,2,1,1,231.81109622312815,239.00991742279263,43.0
OR-140999,Roma,0,1,1,1,413.2758788804515,418.4866904775465,43.0
OR-145009,Bologna,0,1,1,1,1800.0,1832.1694408226824,98.0
OR-145009,Napoli,0,2,1,1,4831.791355237092,4927.629315021197,49.0
OR-145009,Bologna,0,2,3,1,5266.887289164464,14358.25536567463,237.0
OR-145009,Roma,0,2,1,1,3000.0,3000.0,98.0
OR-145009,Cagliari,0,2,2,1,1192.3524462132402,6132.879575688772,206.0
OR-145999,Milano,0,2,1,2,1273.2744442887854,1746.1992537712333,98.0
OR-140999,Milano,0,2,0,2,1681.0640473216793,1691.7131275887514,85.0
OR-145009,Bari,0,2,1,2,2328.5536356467396,5104.490415377754,98.0
OR-145009,Napoli,0,2,1,2,5000.0,5098.895245281077,98.0
OR-140999,Napoli,0,2,1,1,165.6856926544699,255.50191873173588,43.0
OR-140999,Palermo,0,1,2,0,500.0,500.0,43.0
OR-145009,Genova,0,2,2,1,12136.483226237788,18949.68218033664,237.0
OR-145009,Cagliari,0,2,2,1,1994.4229797185444,5200.0,98.0
OR-140999,Milano,1,1,1,2,347.4912579974139,309.99397585907883,43.0
*,Napoli,0,1,1,1,289.6177425176539,1000.0,43.0
OR-145009,Milano,0,2,1,1,4804.3521561903,4831.592413990678,98.0
OR-145999,Venezia,0,1,1,1,250.0,250.0,43.0
OR-140999,Milano,0,1,2,1,800.9847110541325,800.0,43.0
OR-145009,Napoli,0,2,2,2,2597.4214391013725,2829.8824325176265,98.0
OR-140999,Palermo,0,2,1,1,4733.069802049254,4762.831741544844,98.0
OR-145009,Palermo,0,2,1,1,6954.85652675131,7028.510709930982,237.0
OR-145009,Roma,0,1,1,2,150.357065779725,621.2702181274122,43.0
OR-145009,Palermo,0,1,2,0,1914.5927372030978,3632.1339732139863,98.0
OR-145009,Palermo,0,4,1,3,4406.003037127772,4461.822706542901,98.0
OR-140999,Milano,0,3,3,0,3328.9591723422986,3653.9358256387613,98.0
OR-145009,Napoli,0,1,2,1,700.0,677.0190568402705,43.0
OR-140999,Napoli,0,1,0,2,584.2449368522316,567.4630293166385,43.0
OR-145999,Milano,0,1,0,2,785.5302525030996,1170.4562081401832,98.0
OR-145009,Torino,0,2,1,1,891.3824487463104,8643.472571870774,237.0
OR-140999,Torino,0,1,0,2,500.0,500.0,43.0
OR-140999,Milano,0,2,1,1,3737.4651297063283,5200.0,98.0
OR-140999,Torino,0,2,3,0,2534.1552054595113,2500.0,98.0
OR-145999,Firenze,0,1,1,1,693.799225169437,1145.574381070488,43.0
OR-145999,Torino,0,2,0,2,4246.788696976792,4154.99797749047,98.0
OR-140999,*,0,2,2,0,1118.000411636191,2000.0,49.0
*,Palermo,0,1,2,0,5000.0,5000.0,98.0
OR-140999,Cagliari,0,1,0,2,3058.624326482173,3001.9472917483417,49.0
OR-145009,Genova,0,2,2,0,3370.573972474665,3300.0435118911732,49.0
OR-140999,Napoli,1,2,1,2,210.2270737399595,1021.7363013735746,43.0
OR-145009,Palermo,0,3,2,1,315.20943800535264,5000.0,98.0
OR-145999,Bologna,0,1,0,2,2466.8735892642794,2359.961648084361,98.0
OR-140999,*,0,1,0,2,600.0,697.6304518982721,43.0
OR-145009,Roma,0,2,1,2,850.0,1962.1216366870858,98.0
OR-140999,Milano,0,2,0,2,3708.417964549653,3687.018939972919,98.0
OR-145009,Napoli,0,8,7,1,1789.719348189585,3528.2517831944024,98.0
OR-145999,Bologna,0,1,0,2,929.1306111822346,893.0673581753413,43.0
OR-145009,Milano,0,1,1,1,1673.7421797967033,1661.1784838468354,98.0
OR-140999,*,0,1,0,2,500.0,500.0,43.0
OR-145999,Milano,0,1,0,2,2209.0000887322144,2174.1813952613484,98.0
OR-140999,Firenze,1,2,2,0,3010.896064252956,3684.0541897437424,98.0
OR-145009,Genova,0,1,1,2,330.0406381971377,322.8061955750736,43.0
OR-145999,Bologna,0,2,0,2,1418.6406473160857,4000.0,98.0
OR-140999,Bari,0,2,0,2,3112.358313839628,3064.081817955754,85.0
*,Milano,0,1,1,1,250.0,250.0,43.0
OR-145999,Milano,0,1,1,1,5000.0,5000.0,98.0
OR-140999,Milano,0,1,1,1,40.21094491800903,0.0,43.0
OR-145999,Milano,0,1,1,1,282.6299273567074,282.7155628012627,43.0
OR-140999,Firenze,0,2,0,2,2534.2480191329596,2542.499524566747,98.0
OR-145999,Genova,0,2,1,1,2341.9611127580815,2863.818217390202,98.0
OR-145999,Torino,0,1,2,0,3580.585355114194,3625.984483738123,98.0
OR-140999,Bari,0,1,2,0,1692.8022049652584,1674.670145438505,98.0
OR-140999,Firenze,0,1,1,1,1095.0153606784868,1083.982022775048,43.0
OR-145009,*,0,3,2,2,3522.51804210593,5200.0,98.0
OR-145999,Firenze,0,2,0,2,1000.0000000000001,2493.11079299073,98.0
OR-140999,Milano,0,2,1,1,528.9334977784063,650.2119874637469,43.0
OR-140999,Palermo,0,3,2,1,4500.0,5000.0,98.0
OR-145009,Milano,0,1,1,1,1015.9817104785104,1032.0,43.0
OR-145999,Milano,0,1,1,1,466.80614321517635,500.0,43.0
OR-140999,*,0,3,3,0,1841.2210290978687,5200.0,43.0
OR-145009,Bari,0,3,3,0,3000.433021570914,5000.0,98.0
OR-140999,Venezia,0,2,0,2,4524.419666476523,4186.081495488561,43.0
OR-145999,Milano,0,1,0,2,250.0,250.0,43.0
OR-145009,Bari,0,2,2,1,1283.076252243507,5200.0,98.0
OR-140999,Milano,0,2,1,1,250.0,250.0,43.0
OR-140999,Cagliari,0,3,0,5,6335.347097910904,9565.268808403316,237.0
OR-140999,Napoli,1,2,1,2,378.6035763501281,910.4734208584341,43.0
OR-145999,Napoli,0,2,2,1,1087.3192354524792,1593.1200842282417,85.0
OR-145999,Bologna,0,2,1,1,1472.9169308692099,3242.5577379926904,98.0
OR-145009,Milano,0,2,1,1,1985.845362170873,2000.0,98.0
OR-140999,Milano,0,1,1,1,818.8642787061988,834.9107359304597,43.0
OR-145009,*,0,1,2,1,1000.0000000000001,1978.8097016702964,98.0
OR-145999,Napoli,0,2,1,1,250.0,274.5441132884043,43.0
OR-145009,Napoli,0,3,1,2,1.0,5000.0,98.0
OR-140999,Genova,0,2,2,1,690.6728644360642,664.8661484598256,43.0
OR-145009,Roma,0,2,2,1,2414.5752617405115,4012.7037775530916,98.0
*,Bari,0,1,1,1,1730.46534625957,1800.0,98.0
OR-145999,Firenze,0,0,1,1,509.43215552076254,500.0,43.0
OR-140999,Napoli,0,2,2,1,900.0,2500.0,98.0
OR-145999,Bologna,0,2,1,1,2690.7488971515722,2599.591739238955,49.0
OR-140999,Milano,0,3,1,2,2804.964978991607,3635.4160058350167,98.0
OR-145009,Bari,0,2,1,1,958.0880633618034,1000.0,43.0
OR-145999,Bari,0,3,2,1,3997.531074506458,4920.000269734165,98.0
OR-140999,Bologna,0,3,1,2,4189.05819478101,4103.419712218142,49.0
OR-145999,Roma,0,1,0,2,669.2018865338778,948.9038784063217,43.0
OR-140999,Milano,0,1,1,1,800.0,798.73384935111,43.0
OR-145009,Milano,0,3,2,1,500.0,500.0,43.0
OR-145009,Napoli,0,2,2,2,12724.891238105503,13315.113300976554,237.0
OR-145009,Bologna,0,2,1,2,3067.483646139765,5000.0,98.0
OR-145999,Firenze,0,1,1,1,637.1044879750872,700.0,43.0
OR-140999,Firenze,0,2,2,1,500.0,1032.0,43.0
OR-145999,Milano,0,1,0,2,2535.4313727001295,2458.3188266584334,98.0
OR-145999,Bari,0,2,1,1,3418.6071149339505,2300.6613196734324,98.0
*,Milano,0,1,2,0,237.88581542651363,222.68331889235978,43.0
OR-140999,Napoli,1,2,1,1,495.21740723976797,483.331600338683,43.0
OR-145009,Bari,0,2,1,1,1199.9999999999998,1198.41929167873,98.0
OR-140999,Torino,0,3,3,0,1036.6352030362484,1326.5310482135876,98.0
OR-145999,Milano,0,2,1,1,1100.0,1564.0208791346836,98.0
OR-140999,Napoli,0,3,2,1,888.2016858101798,883.0976586499883,21.5
OR-145009,Palermo,0,2,2,1,800.0,1032.0,43.0
OR-145009,*,0,4,3,1,2.0,5200.0,98.0
OR-140999,Genova,0,4,1,3,952.0515480723674,1252.1664013601483,98.0
OR-145999,*,0,1,0,2,2098.13394336928,1995.0099128224574,98.0
OR-140999,Napoli,0,2,2,0,471.6880630181079,516.652580234124,43.0
OR-140999,Bologna,0,1,0,2,750.290861003158,1032.0,43.0
OR-140999,Milano,0,2,1,1,1512.1550346946972,2500.0,85.0
OR-145009,Genova,0,1,1,1,603.6920181102025,699.4260944079272,43.0
OR-145999,*,0,1,0,2,917.2092123549044,1269.7704624689616,98.0
OR-140999,Milano,0,1,1,1,500.0,500.0,43.0
OR-145999,Bari,0,1,1,1,1674.075016984236,1636.31970904734,98.0
OR-145009,Firenze,0,2,2,1,1598.3837879320622,1601.9175731341247,85.0
OR-145999,Napoli,0,4,1,3,721.9584228675524,1099.8053157876325,98.0
OR-140999,Napoli,0,2,1,1,700.0,1014.6054138192778,43.0
OR-140999,Milano,0,2,1,1,1414.6532635248607,5200.0,98.0
OR-140999,Milano,1,1,1,2,150.0,143.49662115822485,43.0
OR-145009,Milano,0,2,1,1,2.0,6.82650056691669,43.0
OR-140999,Palermo,1,3,1,2,736.7894554136179,2000.0,98.0
OR-145009,Palermo,0,1,2,2,500.0,2707.998744831333,98.0
OR-145009,Bologna,0,3,2,2,3792.348722840166,20000.0,206.0
OR-140999,Milano,0,1,1,1,294.6891700945754,594.9136202151146,43.0
OR-145009,Milano,0,3,3,1,3171.2239285430333,11841.847765306462,237.0
